yi	15
123	15
123	15
123	12
456	35
4655	19
000	22
grade=0	9
test	36
454	159
ok	148
mmm	145
cuo	40
ljdshkh	156
nene	154
ok	121
222	112
7897987	129
798	114
123	124
hghg	107
li	106
ghl	126
ok	137
baibia	132
123	49
aaa	47
Qqq	47
56+	61
ol	81
luzhi	44
9	33
4	15
*	38
++++	36
qqqww	80
555	91
8	135
021	106
0	87
bbb	110
yyy	77
55	59
@@@	38
665	50
